article_id,indicator1,indicator2,indicator3
5e8224e70dc171d3c93e7290,"('redflag14', tensor([[0.1127]]))","('redflag15', tensor([[0.1075]]))","('redflag19', tensor([[0.1066]]))"
5e8225570dc171d3c93e72dc,"('redflag11', tensor([[0.1264]]))","('redflag16', tensor([[0.1246]]))","('redflag17', tensor([[0.1229]]))"
5e8225570dc171d3c93e72df,"('redflag11', tensor([[0.1142]]))","('redflag17', tensor([[0.1123]]))","('redflag18', tensor([[0.1095]]))"
5e82251a0dc171d3c93e72b8,"('redflag17', tensor([[0.0881]]))","('redflag7', tensor([[0.0853]]))","('redflag11', tensor([[0.0771]]))"
5e8225370dc171d3c93e72ce,"('redflag11', tensor([[0.1491]]))","('redflag9', tensor([[0.1423]]))","('redflag10', tensor([[0.1410]]))"
5e8224940dc171d3c93e725c,"('redflag11', tensor([[0.0959]]))","('redflag17', tensor([[0.0757]]))","('redflag10', tensor([[0.0731]]))"
5e8225b70dc171d3c93e7318,"('redflag11', tensor([[0.1395]]))","('redflag10', tensor([[0.1101]]))","('redflag8', tensor([[0.1095]]))"
5e8225b70dc171d3c93e7326,"('redflag10', tensor([[0.0995]]))","('redflag11', tensor([[0.0954]]))","('redflag9', tensor([[0.0920]]))"
5e8225050dc171d3c93e72ac,"('redflag17', tensor([[0.1214]]))","('redflag14', tensor([[0.1152]]))","('redflag8', tensor([[0.1146]]))"
5e8226630dc171d3c93e73ae,"('redflag16', tensor([[0.0839]]))","('redflag17', tensor([[0.0669]]))","('redflag10', tensor([[0.0532]]))"
5e8225570dc171d3c93e72e2,"('redflag16', tensor([[0.1615]]))","('redflag17', tensor([[0.1497]]))","('redflag11', tensor([[0.1472]]))"
5e82257e0dc171d3c93e72f7,"('redflag16', tensor([[0.0551]]))","('redflag10', tensor([[0.0455]]))","('redflag1', tensor([[0.0403]]))"
5e82257e0dc171d3c93e72f3,"('redflag11', tensor([[0.0611]]))","('redflag1', tensor([[0.0504]]))","('redflag13', tensor([[0.0482]]))"
5e8225f80dc171d3c93e7355,"('redflag9', tensor([[0.1825]]))","('redflag11', tensor([[0.1794]]))","('redflag10', tensor([[0.1764]]))"
